NCR Registration No,Full Name,Trading Name,Legal Registration No,Phone,Fax,Physical Address,Town,Final Registration Date,Status
NCRCP17103,LA FINANCE GROUP (PTY) LTD,,2021/118477/07,076 899 2104,,"3218 Siyabonga Street Mashishing Lydenburg, 1123","Lydenburg,",2/15/2023,Registered!
NCRCP17104,CM FINANCIAL INVESTMENTS (PTY) LTD,,2017/474172/07,011 672 1144,,The Works 354 Ontdekkers Road Florida Park FLORIDA 1709,FLORIDA,2/17/2023,Registered!
NCRCP17105,FINZ CREDIT (PTY) LTD,,2022/422112/07,083 680 2781,,62 8th Avenue ALBERTON 1449,ALBERTON,2/20/2023,Registered!
NCRCP22139,HAIRSURETY (PTY) LTD,,2024/677027/07,  ,,29 12th Avenue Orange Grove Johannesburg 2192,Johannesburg,7/14/2025,Registered!
NCRCP22140,LAS FINANCIAL SERVICES (PTY) LTD,,2025/360241/07,087 550 1823,,No 07 Mountain Street Alfred Nzo Mount Ayliff 4735,Mount Ayliff,7/17/2025,Registered!
NCRCP22141,IBODFSP (PTY) LTD,,2024/634429/07,081 784 7921,,Ngqeleni Central 5140 Ngqeleni 5140,Ngqeleni,7/16/2025,Registered!
NCRCP22142,MGEBISA TRADING ENTERPRISE (PTY) LTD,,2025/299570/07,087 550 1823,,188 Burgersdorp Village Coblez Tzaneen 0850,Tzaneen,7/18/2025,Registered!
NCRCP22143,PTL HARDWARE (PTY) LTD,,2022/307171/07,061 587 7915,,71 Imbani Circle Malelane 1320,Malelane,7/14/2025,Registered!
NCRCP22144,KB MICROFINANCE LOANS (PTY) LTD,,2024/838400/07,087 550 1823,,1170 Angibus Street Blue Hills Ext 15 Halfway House 1685,Halfway House,7/8/2025,Registered!
NCRCP22145,UNCLE GEORGE FINANCE (PTY) LTD,,2025/039903/07,087 550 1823,,38 Vos Street Middelburg 1055,Middelburg,7/14/2025,Registered!
NCRCP22146,KAGISHO HOLDINGS ENTERPRISES (PTY) LTD,KHE FINANCE,2023/940213/07,081 047 0418,,43 14th Street Vrededorp Johannesburg 2092,Johannesburg,7/14/2025,Registered!
NCRCP22147,ALPHA G INVESTMENT (PTY) LTD,,2021/305133/07,063 754 9949,,Office No 10 Matidza Complex Thohoyandou 0950,Thohoyandou,7/14/2025,Registered!
NCRCP22148,CASHSWIFT (PTY) LTD,,2025/377086/07,087 550 1823,,1 Jaydee lane Umtentweni 4235,Umtentweni,7/12/2025,Registered!
NCRCP19767,MDIMA GROUP (PTY) LTD,MDIMA FINANCIAL SERVICES,2021/317136/07,060 442 1931,,306 Umlazi Area Road Umlazi Durban 4093,Durban,7/7/2024,Registered!
NCRCP19768,MZOLESA (PTY) LTD,,2018/038616/07,078 935 9583,,2716 Nthatisi Street Bochabela BOCHABELA 9323,BOCHABELA,7/7/2024,Registered!
NCRCP19769,LINK TO BRANDS (PTY) LTD,,2015/222793/07,072 .25 64297,,80 Harry Street Robertsham Johannesburg 2091,Johannesburg,7/8/2024,Registered!
NCRCP19770,VHAMANASHI ENTERPRISE (PTY) LTD,,2023/998340/07,083 790 2830,,House 1669 Section F Giyani 0826,Giyani,7/8/2024,Registered!
NCRCP19771,JANET FRIEL,,N/A,082 455 3076,,10 Erwarton Village White River 1240,White River,3/27/2024,Registered!
NCRCP19772,SHOTA SECURITY SERVICES (PTY) LTD,SHOTA FINANCIAL SOLUTIONS,2017/378933/07,079 129 3164,,41 Ashwood Drive Panorama Gardens Pietermaritzburg 3201,Pietermaritzburg,7/9/2024,Registered!
NCRCP19773,CASH WAVE (PTY) LTD,,2024/201746/07,076 666 0405,,3171 Seotlong Bluegumbosch Phuthaditjhaba 9866,Phuthaditjhaba,7/8/2024,Registered!
NCRCP19774,KOMATI MAWELELE PROJECTS (PTY) LTD,,2023/129938/07,071 115 1968,,Stand 368 Makapane Road Tzaneen 0850,Tzaneen,7/10/2024,Registered!
NCRCP19775,OZZY CAPITAL (PTY) LTD,,2021/525850/07,076 308 9043,,1047 Tokologo Mhluzi Middelburg 1050,Middelburg,7/9/2024,Registered!
NCRCP19776,HEARTFELT CAPITAL (PTY) LTD,,2023/233398/07,012 004 0243,,19 Frikkie De Beer Street Garston AH PRETORIA 0063,PRETORIA,7/10/2024,Registered!
NCRCP1063,MAXI CREDIT SOLUTIONS (PTY) LTD,CREDIT SOLUTIONS,1991/001409/07,012 683 9603,,1293 South Street Maxi Building Swartkop Ext 4 Centurion 0157,Centurion,2/21/2007,Registered!
NCRCP10635,MATSHIDISOO (PTY) LTD,,2017/470507/07,073 458 5698,086 602 7718,7681/66 Ext 08 Phagameng Modimolle 0510,Modimolle,5/21/2018,Registered!
NCRCP10636,K2017538482 (SOUTH AFRICA) (PTY) LTD,QUICKFIN PB,2017/538482/07,044 873 0990,044 874 0015,121 Mitchell Street George 6530,George,5/21/2018,Registered!
NCRCP10637,DADIMAR DAMANDA TRADERS (PTY) LTD,CASH CRUSADERS KURUMAN,2016/407950/07,053 712 2186,086 545 7913,Shop 5 Bulla building 10 Steward street Kuruman 8460,Kuruman,5/18/2018,Registered!
NCRCP10649,KESHI FINANCE (PTY) LTD,,2017/092192/07,087 353 8930,031 263 2060,6 Tetford Circle Millenium Bridge Business Park La Lucia Ridge Durban 4093,Durban,5/21/2018,Registered!
NCRCP1065,RENDEALS SEVENTEEN CC,"ALPHA FINANCE, GLOBAL FINANCE",2001/008047/23,051 633 2355,051 633 2366,25 Grey Street Aliwal North 9750,Aliwal North,8/2/2007,Registered!
NCRCP10652,TEDICAT TRADINGS (PTY) LTD,TEDICAT CASH LOAN,2018/083457/07,078 302 0659,,5438 Soul City Rammolutsi VILJOENSKROON 9520,VILJOENSKROON,5/19/2018,Registered!
NCRCP10655,MACELHAN FINANSIELE DIENSTE (PTY) LTD,LOCAL FINANCE,2014/199454/07,081 387 0985,,Shop 4 Castle Street Paarl 7646,Paarl,5/11/2018,Registered!
NCRCP10659,DERTIG TRADING (PTY) LTD,,2013/100339/07,061 443 9054,,150 Block MM Soshanguve Pretoria 0152,Pretoria,5/16/2018,Registered!
NCRCP10665,L AND A CASH LOANS (PTY) LTD,PROFIN FINANCE,2013/132901/07,044 382 1088,086 566 1437,"Shop 7, Demar Centre Main Road Knysna 6570",Knysna,4/25/2018,Registered!
NCRCP17106,SPHOSISO PROJECTS (PTY) LTD,,2022/594479/07,079 548 0166,,6 - 7th Avenue Alexandra Johannesburg 2006,Johannesburg,2/17/2023,Registered!
NCRCP17107,NKEDAMA ENTERPRISE (PTY) LTD,,2022/380806/07,065 593 4401,,106 Sphiwe Village DOBSONVILLE 1863,DOBSONVILLE,2/20/2023,Registered!
NCRCP17108,STANC CASH LOANS PTY LTD,,2022/873551/07,071 468 3911,,ERF No. 1163 Tshiulungoma Thohoyandou 0950,Thohoyandou,2/20/2023,Registered!
NCRCP17109,SPETHU HOLDINGS (PTY) LTD,,2022/651744/07,068 111 1611,,Office Suite 108 Lincoln House 30 Dullar Omar Lane Durban 4000,Durban,2/22/2023,Registered!
NCRCP1711,TUHF BRIDGE (PTY) LTD,,2006/014097/07,010 595 9000,011 339 1784,1st Floor UCS House 209 Smit Street Braamfontein 2017,Braamfontein,10/3/2007,Registered!
NCRCP17110,LEND FRIENDLY CASH LOAN (PTY) LTD,,2022/635716/07,078 991 3031,,4203 Mayfield Ext 6 DAVEYTON 1520,DAVEYTON,2/21/2023,Registered!
NCRCP17112,NZOTHO FINANCE (PTY) LTD,,2022/683937/07,078 074 4356,,57B Gladstone Street Dundee 3000,Dundee,2/17/2023,Registered!
NCRCP17113,VILLAGE FOUNDER 1 TRADING (PTY) LTD,,2015/253458/07,076 038 8094,,38C Thohoyandou Thohoyandou 0950,Thohoyandou,2/20/2023,Registered!
NCRCP17115,PHELIWAH DEBT AND FINANCIAL SERVICES (PTY) LTD,,2017/247169/07,061 445 4096,,C88 California Road Ntuzuma 4360,Ntuzuma,2/17/2023,Registered!
NCRCP17116,SIYAKHULISA FINANCE (PTY) LTD,,2022/789409/07,073 612 0512,,Stand No 013193 Msogwaba 1215,Msogwaba,2/17/2023,Registered!
NCRCP22149,ASTRA MOOLA (PTY) LTD,,2014/000372/07,013 932 0811,,60 Church Street BRONKHORSTSPRUIT 1020,BRONKHORSTSPRUIT,7/17/2025,Registered!
NCRCP22150,BLACK DIAMOND INVESTMENT AND RESOURCES (PTY) LTD,,2017/297878/07,081 762 9817,,Bassonia Estate 2 Cactus Street Johannesburg 2190,Johannesburg,7/17/2025,Registered!
NCRCP22151,CLASSIC FINANCE (PTY) LTD,,2025/054171/07,082 639 3467,,House No A6 Manzolwandle Road Nguthu 3135,Nguthu,7/18/2025,Registered!
NCRCP22152,KINGDOM BLUE HOLDINGS (PTY) LTD,KINGDOM BLUE,2019/460226/07,087 153 4545,,70 Grayston Drive Sandown SANDTON CITY 2196,SANDTON CITY,7/18/2025,Registered!
NCRCP22153,MZANSI MOOLA (PTY) LTD,,2023/186736/07,011 214 8311,,"lllovo Edge Office Block, Building 4 9 Harries Road lllovo lllovo. 2196",lllovo.,7/18/2025,Registered!
NCRCP22154,VHUTHUHAWE FUNERALS (PTY) LTD,,2022/556380/07,  ,,Plot 122 Maebani Village Kutama 0940,Kutama,7/17/2025,Registered!
NCRCP22155,LEINSTEC UNDERWRITING MANAGERS (PTY) LTD,LEINSTEC FINANCIAL SERVICES,2020/048506/07,017 170 5085,,16 Joubert Street Ermelo 2351,Ermelo,7/11/2025,Registered!
NCRCP22156,MONVIC HOLDINGS (PTY) LTD,,2011/122837/07,078 323 1600,,Vulamehlo Area Nqutu 3135,Nqutu,7/14/2025,Registered!
NCRCP22157,LISONKE HOLDINGS FINANCIAL SERVICES (PTY) LTD,,2025/030300/07,076 649 7676,,White City UMZIMKHULU 3297,UMZIMKHULU,7/18/2025,Registered!
NCRCP22158,LETS MEDIKO INVESTMENTS (PTY) LTD,,2025/259613/07,079 093 4141,,Stand No 998 Extension D2 SIYABUSWA 0472,SIYABUSWA,7/18/2025,Registered!
NCRCP10669,CASH CRUSADERS MELLVILLE (PTY) LTD,,2017/338496/07,011 482 5116,,Shop 52A Campus Square Shopping Centre Mellville Johannesburg 2091,Johannesburg,5/25/2018,Registered!
NCRCP10670,BULELWA GWAYISE TRADING ENTERPRISE CC,,2018/233066/07,047 535 7202,,34 Makawula Street Mbuqe Park MTHATHA 5099,MTHATHA,5/29/2018,Registered!
NCRCP10672,JERRY AND BROTHERS GENERAL TRADING (PTY) LTD,,2015/139070/07,078 580 4441,,591 Langgewag Geluksoord CHRISTIANA 2680,CHRISTIANA,5/7/2018,Registered!
NCRCP1068,GVB FINANSIELE DIENSTE BK,,2001/063487/23,021 851 2947,,11 Wiid Street Hopetown 8750,Hopetown,7/24/2007,Registered!
NCRCP10683,BRIDGE TAXI FINANCE NO 4 (PTY) LTD,,2014/066005/07,080 027 4343,086 595 9153,132 Jan Smuts Avenue Rosebank Johannesburg 2000,Johannesburg,6/1/2018,Registered!
NCRCP10684,INCEBAKABAWO TRADING ENTERPRISE (PTY) LTD,,2016/332469/07,060 441 3790,086 568 3802,Swazini A/A Qhaka Location Port St Johns 5120,Port St Johns,6/1/2018,Registered!
NCRCP10686,HENFIN (PTY) LTD,FINANCE WORLD HENNEMAN,2017/416732/07,073 486 3975,086 609 8882,Voortrekker Street 10 A Hennenman 9445,Hennenman,5/29/2018,Registered!
NCRCP10687,HOOPFIN (PTY) LTD,FINANCE WORLD HOOPSTAD,2017/416778/07,087 630 0427,086 609 8882,42 Els Street Tikwana Hoopstad 9479,Hoopstad,5/29/2018,Registered!
NCRCP10688,ALLANFIN (PTY) LTD,FINANCE WORLD ALLANRIDGE,2017/416753/07,087 630 0427,086 609 8882,384 Nyakallong Allanridge Merafong 9483,Merafong,5/29/2018,Registered!
NCRCP1069,DORMADEALS TWENTY SIX CC,MORENA FINANCIAL INSTITUTIONS,2001/080995/23,079 509 8665,086 5455 455,Predo Building Jan Van Riebeek Street Thaba Nchu GA-RAPULANA 9780,GA-RAPULANA,5/15/2007,Registered!
NCRCP17117,V V CASH SERVICES (PTY) LTD,,2022/395061/07,078 330 0689,,723 Hoflan Road Bhongweni Kokstad 4700,Kokstad,2/20/2023,Registered!
NCRCP17118,BEST FAST FINANCIAL SERVICE (PTY) LTD,BEST LOANS,2021/344793/07,061 613 1329,,R573 Moloto Road 23 Vezubuhle KWAMHLANGA 1022,KWAMHLANGA,2/17/2023,Registered!
NCRCP17120,C1FS (PTY) LTD,,2022/707767/07,066 512 7673,,2 Lady Loch Village Lady Loch Road Wellington Suider-Paarl 7646,Suider-Paarl,2/15/2023,Registered!
NCRCP17122,BOYISA FINANCIAL INSTITUTE (PTY) LTD,,2022/794915/07,084 327 7022,,2999 Driekiek 1 Potso Street Orange Farm 1805,Orange Farm,2/17/2023,Registered!
NCRCP17124,MNM ART HOLDINGS (PTY) LTD,,2020/674662/07,076 664 3299,,Stand No 1058 Tshilamba Mutale 0956,Mutale,2/28/2023,Registered!
NCRCP17126,MAJOR WINGS (PTY) LTD,,2021/706566/07,073 255 5552,,Shop A47 Sable Square China Town Milnerton. Cape Town. 7441,Cape Town.,3/1/2023,Registered!
NCRCP17127,DOLLAR BOOSTER (PTY) LTD,CASH CONVERTERS KAREN PARK,2022/225945/07,087 820 4080,,Shop 1/2 Karenpark Crossing Cnr Heinrich Ave & Doreg Street Akasia KARENPARK 0118,KARENPARK,3/2/2023,Registered!
NCRCP17128,THUSA MICRO LOANS (PTY) LTD,,2022/612983/07,061 432 0431,,House No T926 Tswelopele Section Kuruman 8460,Kuruman,2/22/2023,Registered!
NCRCP17129,SANPAR INVESTMENT HOLDINGS (PTY) LTD,,2022/736766/07,082 885 1032,,2 Sterkbos Street Dalpark 6 BRAKPAN 1541,BRAKPAN,2/22/2023,Registered!
NCRCP17130,GABS FINANCIAL SERVICES (PTY) LTD,,2022/841931/07,073 475 3751,,D17 Sangoma Rd Amanzimtoti 4125,Amanzimtoti,3/2/2023,Registered!
NCRCP22159,ISOLETHU FINANCE SOLUTIONS (PTY) LTD,,2025/230296/07,062 031 2199,,010338 Buffeldraai Area Verulam 4340,Verulam,7/18/2025,Registered!
NCRCP22160,FAJ FINANCIAL SERVICES (PTY) LTD,,2024/800243/07,066 299 9884,,"Shop C2, Ground Floor Court Chambers 623 Govan Mbeki Avenue North End Port Elizabeth 6001",Port Elizabeth,7/21/2025,Registered!
NCRCP22161,QHAWE FINANCE (PTY) LTD,,2025/226704/07,060 895 2510,,D1975 Ezakheni Ladysmith Ezakheni 3381,Ezakheni,7/18/2025,Registered!
NCRCP22162,SPAZA EATS (PTY) LTD,,2020/204041/07,081 709 0709,,41 Rivonia Road Sandhurst SANDTON 2196,SANDTON,7/21/2025,Registered!
NCRCP22163,MRBM LOGISTICS (PTY) LTD,,2024/532583/07,011 568 5349,,U018 The Atlanta Lenchen Avenue Centurion 0157,Centurion,7/23/2025,Registered!
NCRCP22164,ZIYAS CASH LOAN (PTY) LTD,,2025/252005/07,011 568 5349,,845 Thala Kwaguqa Thushanang Street Witbank 1039,Witbank,7/23/2025,Registered!
NCRCP22165,PRO-SEED FINANCE (PTY) LTD,,2025/383261/07,069 752 9572,,Block 7 Room 11 Railway Flats New Brighton 2196,New Brighton,7/10/2025,Registered!
NCRCP22166,DGMA TRADING (PTY) LTD,,2025/183204/07,060 371 1995,,27 Van Riebeeck Street LADYSMITH 3370,LADYSMITH,7/21/2025,Registered!
NCRCP22167,MIKHONGELO FRANCHISE (PTY) LTD,TSHOVELA CAPITAL,2017/332394/07,068 100 6694,,Office No 6 22 Ferreira Street Shell House Nelspruit 1201,Nelspruit,7/22/2025,Registered!
NCRCP22168,MOKGOHLA ENTERPRISE (PTY) LTD,,2021/903977/07,073 256 9734,,802 Unit F Extension Lebowakgomo 0737,Lebowakgomo,7/22/2025,Registered!
NCRCP10690,B AND M BUSINESS ENTERPRISE (PTY) LTD,,2018/030214/07,015 960 0900,015 960 0900,House 184 Muledane Thohoyandou 0950,Thohoyandou,5/31/2018,Registered!
NCRCP10691,ROISIN (PTY) LTD,UBUNTU FINANCE,2017/283556/07,051 448 9111,086 4596089,131 St Andrew Street Tera Nova Building Bloemfontein 9301,Bloemfontein,5/30/2018,Registered!
NCRCP10700,FIRSTRAND MORTGAGE COMPANY (RF) (PTY) LTD,,2015/042866/07,011 282 4086,011 384 3233,4 Merchant Place Corner Fredman Drive and Rivonia Road Sandton 2196,Sandton,5/24/2018,Registered!
NCRCP10702,SBO AND KWAZI (PTY) LTD,SIZAKALA CASH LOAN,2018/072366/07,035 580 1197,,Wedgewood Street House No 2 KWAMBONAMBI 3915,KWAMBONAMBI,5/31/2018,Registered!
NCRCP10707,NAROMARK (PTY) LTD,,2017/366504/07,015 296 0223,086 673 2114,Cnr Munnik School Road 115 Ext Bendor Polokwane (Pietersburg) 0700,Polokwane (Pietersburg),5/31/2018,Registered!
NCRCP1071,XTREME DISCOUNTERS (PTY) LTD,XTREME,2004/018401/07,011 657 4345,086 635 1529,70 Landros Mare Street Polokwane (Pietersburg) 0699,Polokwane (Pietersburg),3/31/2007,Registered!
NCRCP10714,TIKNATH PREMLALL ARJUN,TPPA FINANCIAL BROKER,N/A,061 476 6344,,2 Solly Street STANGER 4450,STANGER,5/19/2018,Registered!
NCRCP10726,SAMKE EXPERIENCE CASH LOAN (PTY) LTD,,2017/431998/07,079 542 6418,,2018 Ngubeni Street Standerton 2430,Standerton,5/31/2018,Registered!
NCRCP1073,ELMA TRUST,"ELMA TRUST- POSTMASBURG, VREDENBURG, MOSSELBAAI, UPINGTON,",IT 177/2000,054 332 3214,054 331 3374,15 Basson Street Upington 8801,Upington,4/2/2007,Registered!
NCRCP10743,GRAHAM RONALD HART,,N/A,  ,,Unit 125 Eastlands Mature Lifestyle Estate 101 Eastlands Drive Zesfontein Extension 3 BENONI 1501,BENONI,6/11/2018,Registered!
NCRCP19777,SKYPOWER FINANCIAL SERVICES (PTY) LTD,,2023/234654/07,076 916 6505,,Stand No 187 Dovheni MALAMULELE 0982,MALAMULELE,7/9/2024,Registered!
NCRCP19778,EQUALITY FINANCE CC,,1998/018563/23,083 357 6731,,11 Second Street Hillary Durban 4093,Durban,7/8/2024,Registered!
NCRCP19779,LADY R LOAN SERVICES AND PROJECTS (PTY) LTD,,2024/254709/07,076 986 6659,,2096 Moribe Gardens MBIBANE 0449,MBIBANE,7/7/2024,Registered!
NCRCP19780,VESO FINANCE (PTY) LTD,,2024/152750/07,084 503 3810,,3 Mountainview Morula Crescent Winchester Hills Johannesburg 2091,Johannesburg,7/10/2024,Registered!
NCRCP19781,PROSPERITY PLUS MICROFINANCE (PTY) LTD,,2024/221600/07,082 401 4845,,143 Caltex Building Mbombela. 1201,Mbombela.,7/12/2024,Registered!
NCRCP19782,ELGIN MICRO FINANCE (PTY) LTD,,2024/301031/07,071 500 4548,,3 Vosloo Street Unit 41 Birchleigh Kempton Park 1620,Kempton Park,7/11/2024,Registered!
NCRCP19783,VANGUARD FINANCIAL SERVICES (PTY) LTD,,2023/273851/07,011 568 5349,,18 Brompton Bend Parklands Cape Town. 7441,Cape Town.,7/10/2024,Registered!
NCRCP19784,KHAYALETHU CAPITAL PARTNERS (PTY) LTD,,2023/124709/07,033 343 1009,,70 Flanders Drive Mounte Edgcombe Durban 4037,Durban,7/12/2024,Registered!
NCRCP19785,BATHUSHI FINANCIAL SOLUTIONS (PTY) LTD,,2017/498710/07,  ,,Unit 4558 Cnr Porcelain & George Drive Midrand 1685,Midrand,7/11/2024,Registered!
NCRCP19786,ABRAHAM GERHARDUS DANIEL JACOBS,,N/A,  ,,29 Callington Street Port Elizabeth 6001,Port Elizabeth,7/9/2024,Registered!
NCRCP17132,MOPHUTI TSOGA TRADING ENTERPRISE (PTY) LTD,MOPHUTI TSOGA FINANCE,2017/195590/07,073 611 8483,,4 Jane Mashiane Street Extension 12 Mokopane. 0600,Mokopane.,3/1/2023,Registered!
NCRCP17133,MMARUPS DEVELOPMENT (PTY) LTD,,2021/333577/07,078 440 6955,,5209 Bloemside 02 Heidedal BLOEMFONTEIN 9306,BLOEMFONTEIN,2/20/2023,Registered!
NCRCP17134,SLIE INVESTMENTS (PTY) LTD,,2022/749907/07,071 403 4888,,1626 Ingede Street Esikhawini RICHARDS BAY 3900,RICHARDS BAY,3/1/2023,Registered!
NCRCP17135,NET2G TECHNOLOGIES (PTY) LTD,,2012/000245/07,073 797 6199,,"400, 16th Road Central Office Park MIDRAND 1685",MIDRAND,3/3/2023,Registered!
NCRCP17138,TIDZINGO FINANCIAL SERVICES (PTY) LTD,,2023/529834/07,073 225 3967,,Stand 12957119 506 Chromeville MHLUZI 1053,MHLUZI,3/1/2023,Registered!
NCRCP17139,MAXCREDIT FINANCIAL SERVICES (PTY) LTD,,2022/759218/07,082 328 3280,,136 Craigholm Street Dalview BRAKPAN 1541,BRAKPAN,3/3/2023,Registered!
NCRCP1714,AO FINANCE CC,,1997/036698/23,057 212 0105,057 212 0105,Gowerment Ave Ok Building Virginia 9430,Virginia,7/12/2007,Registered!
NCRCP17140,KRUGER FAMILIE TRUST,,IT459/97,073 240 4657,086 620 5050,2 Paardekraal Road HARTENBOS 6520,HARTENBOS,3/3/2023,Registered!
NCRCP17141,NETHOD INVESTMENTS (PTY) LTD,CASH CONVERTERS HONEY CREST,2022/323393/07,087 820 4080,,"Shop 30, Honey Crest Shopping Centre Cnr Beyers Naude Dr and Duiker Avenue Randpark Ridge RANDBURG 2125",RANDBURG,3/6/2023,Registered!
NCRCP17142,ZONO TRADING ENTERPRISE (PTY) LTD,,2021/310410/07,082 831 7418,,Stand no 368 Monsterlus Middelburg 1057,Middelburg,3/2/2023,Registered!
NCRCP22169,BABEELETSI FINANCIAL SERVICES (PTY) LTD,,2024/630681/07,081 805 6622,,26 Peninsula Peacanwood Estate Hartbeespoort. 0240,Hartbeespoort.,7/21/2025,Registered!
NCRCP22170,MSB REEVE (PTY) LTD,MSB REEVE FINANCIAL SERVICES,2016/036287/07,063 276 6586,,1391 OR Tambo Street Ext 3 Halfway House 1685,Halfway House,7/22/2025,Registered!
NCRCP22171,SIBAMBISENE RURAL ENTREPRENEURS (PTY) LTD,,2020/494152/07,082 257 1587,,308 Ntokozweni Location IMPENDLE 3227,IMPENDLE,7/18/2025,Registered!
NCRCP22172,TEE A CEE GROUP (PTY) LTD,,2025/351281/07,073 681 1918,,1257 Ochard Street Riverside View Ext 30 Fourways Johannesburg 2000,Johannesburg,7/22/2025,Registered!
NCRCP22173,27FOUR INVESTMENT MANAGERS (PTY) LTD,,2007/006556/07,011 442 2464,,Fire Station 16 Baker Street Rosebank JOHANNESBURG 2196,JOHANNESBURG,7/22/2025,Registered!
NCRCP22174,KUMKANI BUSINESS SOLUTIONS (PTY) LTD,KUMKANI FINANCE,2022/254172/07,069 638 0419,,40 Terminus Street Duncan House East London 5201,East London,7/21/2025,Registered!
NCRCP22175,LUCKYHIVE (PTY) LTD,"AMOR BUTTERWORTH, AMOR ALICE, AMOR QUEENSTOWN, AMOR KING WILLIAMSTOWN",2025/161382/07,062 872 6828,,1 High street Butterworth 4960,Butterworth,7/22/2025,Registered!
NCRCP22176,TOBASANDHO HOLDINGS (PTY) LTD,TOBASANDHO FINANCE,2013/213676/07,081 784 7921,,Office 2 Madar Complex Opp Mvusuludzo Mall Thohoyandou Thohoyandou 0950,Thohoyandou,7/22/2025,Registered!
NCRCP22177,THE GLOW ENTERPRISE (PTY) LTD,,2023/110639/07,084 828 2701,,King Centre 52 York Street Kimberley 8301,Kimberley,7/21/2025,Registered!
NCRCP22178,MASHAMOLA TRADING AND FINANCIAL SERVICES (PTY) LTD,,2024/661629/07,082 060 3076,,218 Molutsi Street Monyakeng Wesselsbron 9680,Wesselsbron,7/23/2025,Registered!
NCRCP17143,SKMOSAE GENERAL TRADING (PTY) LTD,,2021/942648/07,071 722 0126,,16189 Koekoe Village Maokeng Kroonsad 9499,Kroonsad,3/2/2023,Registered!
NCRCP17144,SNAPP CAPITAL (PTY) LTD,SNAPPIT,2022/274204/07,010 012 6405,,3 kinross drive Melkbossstrand. 7441,Melkbossstrand.,3/5/2023,Registered!
NCRCP17145,NDEE MMBENGS CASH LOANS (PTY) LTD,,2022/802210/07,079 610 6139,,"Ha Mavhunga Gondeni Nzhelele, 0992","Nzhelele,",3/2/2023,Registered!
NCRCP17146,SEEDER INVEST (PTY) LTD,,2022/356567/07,073 559 3758,,"Suite 8, 2nd Floor Building Hertford Office Park 90 Bekker Road Midrand. 1685",Midrand.,3/3/2023,Registered!
NCRCP17147,PRISTINE FINANCE (PTY) LTD,,2021/125162/07,071 926 1324,,7746 Ext 1 Impala JOUBERTON 2574,JOUBERTON,3/2/2023,Registered!
NCRCP17148,SIZABANTU FINANCE (PTY) LTD,,2016/382408/07,074 311 7957,,1702 Nogwaja Road Imbali Unit 2 Pietermaritzburg 3201,Pietermaritzburg,3/6/2023,Registered!
NCRCP17149,OPTIMAL WEALTH HOLDINGS (PTY) LTD,GREENLEAF MICRO LENDING FINANCE,2019/027869/07,076 341 0043,,20 Kiddlane Clubview King William's Town 5601,King William's Town,3/2/2023,Registered!
NCRCP17150,BOSHAKA LESHIKA (PTY) LTD,,2015/124904/07,079 758 5998,,847 Lepakeng Street Zone A MAHWELERENG 0626,MAHWELERENG,3/3/2023,Registered!
NCRCP17151,K2020171840 (SOUTH AFRICA) (PTY) LTD,CROFT VENTURES,2020/181740/07,072 275 4593,,1 Melford Manor 33 Melrose Street Melrose Estate. 2196,Melrose Estate.,3/6/2023,Registered!
NCRCP17152,ALIGNMENT FINANCIAL SERVICES (PTY) LTD,,2022/577934/07,061 459 7781,,29 Mind Road Houghton Cape Town. 7100,Cape Town.,3/3/2023,Registered!
NCRCP10747,AMANDI DU TOIT,PADI CASH LOANS,N/A,057 733 0084,057 733 0084,19 Piet Retief Street THEUNISSEN 9410,THEUNISSEN,6/6/2018,Registered!
NCRCP10750,EASY YIXING CASH LOANS (PTY) LTD,,2017/243714/07,082 587 6000,,46 Breytenbach Street Breyten 2330,Breyten,5/21/2018,Registered!
NCRCP10752,DEBOW GENERAL TRADING (PTY) LTD,,2015/284868/07,074 377 9964,,21 Danie Joubert Street Tzaneen 0850,Tzaneen,5/31/2018,Registered!
NCRCP10753,EUG INVESTMENT (PTY) LTD,,2017/459562/07,079 351 3446,,40HArlrykyn Street Reyno Ridge Ext 5 Witbank 1035,Witbank,6/8/2018,Registered!
NCRCP10758,VENDOR CASH LOAN (PTY) LTD,,2018/029073/07,013 752 2170,,"Office No.112, Orion Building 26 Bester Street NELSPRUIT 1200",NELSPRUIT,6/8/2018,Registered!
NCRCP10761,G MONEY LOANS (PTY) LTD,,2017/457286/07,084 700 5551,,32 Rose Hill Spinetail Street Celtisdale Centurion 0157,Centurion,6/16/2018,Registered!
NCRCP10763,NPN FINANCIAL SOLUTION (PTY) LTD,,2018/015224/07,083 590 9595,,5510 Block 2 Doornkop Dobsonville. 1723,Dobsonville.,6/15/2018,Registered!
NCRCP10767,BORTLE CAPITAL SERVICES CC,,2005/022140/23,083 300 1842,,Unit 10 Cape Town Station City Concourse Cape Town 8000,Cape Town,6/13/2018,Registered!
NCRCP10769,THEMBA TRADING AND PROJECTS (PTY) LTD,,2016/484308/07,063 284 0067,,3462 Ext 1 ORANGE FARM 1805,ORANGE FARM,6/11/2018,Registered!
NCRCP10770,GROBLERSHOOP FIN DIENSTE (PTY) LTD,,2016/340845/07,054 331 1825,,5 Border Street Upington 8800,Upington,6/3/2018,Registered!
NCRCP22179,LINKMAKERS CAPITAL (RF) (PTY) LTD,,2004/033331/07,011 447 5575,,"2nd Floor, Blubird Offices 1 Park Road Birnam JOHANNESBURG 2196",JOHANNESBURG,7/21/2025,Registered!
