NCR Registration No,Full Name,Trading Name,Legal Registration No,Phone,Fax,Physical Address,Town,Final Registration Date,Status
NCRCP845,GOBIL FINANCE CC,ATLAS FINANCE & MAKULU FINANCE,2003/104699/23,011 833 1900,086 683 1096,"CCMA House, 7th Floor Cnr Loveday & Fox Streets Johannesburg 2001",Johannesburg,,
NCRCP846,POGSTONE FINANCE (PTY) LTD,ATLAS FINANCE,2003/029666/07,011 833 1900,086 6831096,"CCMA House, 7th Floor Cnr Loveday & Fox Street Johannesburg 2001",Johannesburg,,
NCRCP3714,MARLIN CASH LOANS CC,PROLOAN,2008/193956/23,054 332 2287,054 332 2287,34 Laksman Street Upington 8800,Upington,,
NCRCP3717,HOTSPOT PROPERTIES CC,,1998/047979/23,039 727 5051,039 727 1169,1a Railwy Street Kokstad 4700,Kokstad,,
NCRCP3721,121 DAKI MARKETING BUSINESS CC,,2007/078857/23,015 963 1446,015 963 1446,"H V Complex, Office No 7 Vhufuli 0971",Vhufuli,,
NCRCP3727,"PC STRACHAN AND HS SCHUTTE "" TRADING IN PARTNERSHIP""",SPEEDY CASH LOANS,N/A,053 203 0415,053 203 0415,Wiid Straat Hopetown 8750,Hopetown,,
NCRCP3728,KJELL ANDERS ROD,,N/A,044 873 6277,,28 Plover Road GEORGE 6529,GEORGE,,
NCRCP3734,BROZA RETAILERS CC,CASH CONVERTERS GOODWOOD,1993/007556/23,021 595 2640,086 654 3004,"Shop 62, N1 Value Centre N1 City 7463",N1 City,,
NCRCP3736,T C CASH LOANS CC,,2007/007363/23,078 271 8279,,22 Ackerman Street ALIWAL NORTH 9750,ALIWAL NORTH,,
NCRCP374,RITZTRADE 1031 CC,MICROCASH FINANCIAL SERVICES,1998/013796/23,021 510 3766,021 510 1515,229 Koeberg Road Brooklyn Milnerton 7435,Milnerton,,
NCRCP3742,MZALA FINANCIAL SERVICES CC,,2008/178694/23,083 484 4345,012 803 0235,1 Nyara Street Moreleta Park 0181,Moreleta Park,,
NCRCP3745,MANOCORP FINANCE CC,,2008/204181/23,016 341 2777,086 611 6531,15 Mbonani Mayisela Street Standerton 2430,Standerton,,
NCRCP11347,P J VAN HEERDEN (POTGIETERSTR) CC,,1999/001496/23,014 717 4010,,"Shop 21, Modi Mall Cnr Thabo Mbeki & Limpopo Street Modimolle 0510",Modimolle,,
NCRCP11348,PIETER JOHANNES VAN HEERDEN,,N/A,014 736 4976,,"Shop 5 & 6, Tzaneen Lifestyle Centre Cnr R71 & Danie Joubert Street Tzaneen 0850",Tzaneen,,
NCRCP11349,P J VAN HEERDEN (VOORTREKKERWEG) CC,VAN HEERDEN APTEEK WARMBAD,1999/000350/23,014 736 4976,,Chris Hani Drive 25 BELA BELA 0481,BELA BELA,,
NCRCP11352,VAN HEERDEN APTEEK LEPHALALE (PTY) LTD,,2017/188441/07,014 736 4976,086 568 0932,"Shop 2, Bosveld Boulevard 2 Joe Slovo Road Onverwacht. 0555",Onverwacht.,,
NCRCP11358,EDWARD ALBERT CHESSMAN ELMES,,N/A,014 762 3100,,Roskana Gebou 10 Jakobus Street Lephalale Ellisras 0555,Ellisras,,
NCRCP1136,IQRAA TRUST (SOUTH AFRICA),,IT 5843/94,031 301 1113,031 301 1161,"Suite F9 , International Plaza 130 Commercial Road Durban 4001",Durban,,
NCRCP1138,MILNEX 470 BK,CASH CREATORS,2005/180094/23,057 357 2954,057 357 3595,"Shop 2, 325 B Long Road Welkom 9460",Welkom,,
NCRCP11380,X-STAR INTERNATIONAL (PTY) LTD,,2012/199515/07,078 276 3881,,26 Ernest Oppenheimer Street Bruma JOHANNESBURG 2000,JOHANNESBURG,,
NCRCP11383,ACQUISTA INVESTMENTS (PTY) LTD,,2018/210041/07,012 940 5657,,2nd Floor The Gables 1209 Fransis Board Street Hatfield Pretoria 0083,Pretoria,,
NCRCP11386,INNOVATIVE CAPITAL TRADING (PTY) LTD,PHOENIX FINANCE,2016/395907/07,033 342 1216,,166 Villiers Drive Clarendon Pietermaritzburg 3201,Pietermaritzburg,,
NCRCP6451,FREE TO CHOOSE 2 (PTY) LTD,CASH CRUSADERS PORT ELIZABETH CBD,2012/077958/07,041 582 3366,041 582 3432,Shop 3 Traduna Mall Govan Mbeki Avenue Port Elizabeth 6001,Port Elizabeth,,
NCRCP6454,JAMES JUNE NHLEBEYA,DLIBANE CASH LOAN,N/A,012 323 0556,,112 18th Avenue Alexandra Township Johannesburg Alexandra 2090,Alexandra,,
NCRCP6473,KERSH INVESTMENTS CC,HINGADUNGI,2003/032140/23,076 727 2577,,Dwarsloop Phase 1 Office G02 Plot 248 KU Basani Street BUSHBUCKRIDGE 1280,BUSHBUCKRIDGE,,
NCRCP6482,AMASHO CASHLOAN CC,,2011/033918/23,071 121 4375,,Stand 294 Kamhlushwa Eastgate 2103,Eastgate,,
NCRCP6490,NYATI SECURITISATION 1 (RF) (PTY) LTD,,2012/148395/07,010 245 8309,086 620 0316,Real People Views 12 Esplande Road Quigney EAST LONDON 5201,EAST LONDON,,
NCRCP6493,AFRICAN LOAN CENTRE (PTY) LTD,,2011/142391/07,081 733 5572,,Balmoral Woonstel MOSSELBAAI 6506,MOSSELBAAI,,
NCRCP6494,NAPO FINANCIAL TRADING CC,,2010/071586/23,084 788 2463,015 223 2748,183 Zone 8 Seshego Polokwane (Pietersburg) 0742,Polokwane (Pietersburg),,
NCRCP6500,KAREN DE VILLIERS GRAAFF,KAREN GRAAFF,N/A,021 464 3153,021 461 0523,22 B Silvertree Place 30 Ravensteyn Road Camps Bay 8001,Camps Bay,,
NCRCP6517,INTERSTAT AGENCIES CC,,1992/002649/23,031 569 6550,031 569 6559,33 Island Circle Riverhorse Valley Industrial Park DURBAN 4016,DURBAN,,
NCRCP652,MOAGISHANE BELEGGINGS CC,CASH 1000,1999/049864/23,015 491 7544,015 491 7544,29a Chris Hani Street Nylstroom 0510,Nylstroom,,
NCRCP8463,CASHUP (PTY) LTD,,2016/068137/07,011 342 4343,,2 Hawaii Avenue Ext 7 ELDORADOPARK 1811,ELDORADOPARK,,
NCRCP847,ST JOHN FINANCE (STATION) CC,"ATLAS FINANCE- BLACKHEATH, CNR VON WILLIGH & JEPPE STREET, PARK STATION",1998/07301/23,011 833 1900,086 683 1096,"CCMA House, 7th Floor Cnr Loveday & Fox Street Johannesburg 2001",Johannesburg,,
NCRCP848,HALPHER FINANCE CC,"ATLAS FINANCE- GERMISTON, ISANDO & MAKULU FINANCE",2001/005727/23,011 833 1900,086 683 1096,"CCMA House, 7th Floor Cnr Loveday & Fox Streets Johannesburg 2001",Johannesburg,,
NCRCP8488,UZAWA REACH (PTY) LTD,,2014/122905/07,086 100 0005,086 672 2508,"Shop 1, Montana Building 116 Lady Grey Street Suider-Paarl 7646",Suider-Paarl,,
NCRCP8490,BETACAPITAL (PTY) LTD,,2016/417009/07,082 900 7976,,19 Beta Raod Bakoven Camps Bay CAPE TOWN 8005,CAPE TOWN,,
NCRCP850,ST JOHN FINANCE (BRAAMFONTEIN) CC,"ATLAS FINANCE, MAKULU FINANCE",1995/035418/23,011 833 1900,086 683 1096,"CCMA House, 7th Floor Cnr Loveday & Fox Streets Johannesburg 2001",Johannesburg,,
NCRCP851,SOPHER FINANCE CC,ATLAS FINANCE,2004/060471/23,011 833 1900,086 683 1096,"House, 7th Floor Cnr Loveday & Fox Streets Johannesburg 2001",Johannesburg,,
NCRCP8514,BRENTFORD TRADE AND INVEST CC,E- CASH,2010/070302/23,043 643 4066,043 643 4066,12-14 Taylor Street King William's Town 5600,King William's Town,,
NCRCP852,KALINKA FINANCE CC,IF CASH LOANS,1999/055362/23,011 838 1160,011 838 1113,"Suite 3, Gandhi Square 3rd Floor, 14 New Street South Johannesburg 2000",Johannesburg,,
NCRCP853,GERBER FAMILIE TRUST,,IT 5022/97,014 592 6866,014 592 7077,Prinsloostraat 5 Rustenburg 0299,Rustenburg,,
NCRCP6526,BONGI'S FINANCE CC,,1999/012891/23,012 348 0338,012 348 0339,Menlyn Offoce Park 1 Gobie Street 223 Menlyn Pretoria 0102,Pretoria,,
NCRCP6535,NEDERDUITS GEREFORMEERDE KERK BAKENSKOP KIMBERLY,,N/A,053 861 1842,086 675 6645,Cnr Rhodes & Drankensberg Carters Glen KIMBERLEY 8301,KIMBERLEY,,
NCRCP6537,SOUTHERN VIEW FINANCE UK LIMITED,CAPFIN,2013/052938/10,+44 207 8598369,,1 Industries Street KUILSRIVER 7580,KUILSRIVER,,
NCRCP6538,FOX FINANCE (PTY) LTD,,2012/097174/07,082 331 3200,086 608 2997,16 Seymour Avenue Parktown. 2193,Parktown.,,
NCRCP654,FRIDJHON FURNISHERS CC,,2005/149683/23,011 477 8310,011 477 7326,15 Perth Road Westdene Johannesburg 2092,Johannesburg,,
NCRCP6540,FINANCIAL OVERHAUL SOLUTIONS (PTY) LTD,,2012/073728/07,017 685 1550,086 601 7069,2134 Khama Street Office 21-22 Blackseed Building Embalenhle 2285,Embalenhle,,
NCRCP6543,COCO'S CASH LOANS (PTY) LTD,Coco's Fashion Store,2013/078146/07,014 736 2069,,41 Christ Hani Bela Bela BELA-BELA 0480,BELA-BELA,,
NCRCP6545,FINCAP INVESTMENTS (PTY) LTD,Wellington Cash Loan,2012/205239/07,011 972 6575,086 624 4501,"Shop 33, Market Square Melling Street Wellington 7654",Wellington,,
NCRCP6546,DALINGCEBO FINANCIAL AND TRADING SERVICES (PTY) LTD,,2013/005492/07,078 685 6252,,8249 Extension 5 Wesselton Ermelo 2350,Ermelo,,
NCRCP655,KHULUMA CASH LOANS CC,SUN CASH,1999/003135/23,013 282 5290,013 282 5290,Bhimy Damane str Medidok Gebou Middelburg 1050,Middelburg,,
NCRCP8539,MESTOCODE (PTY) LTD,,2014/184427/07,087 809 1410,,"1st Floor, 1 Surance Building 64 Glenwood Road Lynnwood Glen Pretoria Lynnwood Glen 0081",Lynnwood Glen,,
NCRCP8561,HATAH CASH LOANS CC,,2010/166811/23,043 721 2360,043 721 2360,Walker and Taylor Street King williams Town 5600,King williams Town,,
NCRCP8562,SIRAGELA PHAMBILI INVESTMENT (PTY) LTD,,2013/182130/07,072 558 5068,,467 Carnation & Violet Street Dobsonville Garden Soweto DOBSONVILLE 1863,DOBSONVILLE,,
NCRCP857,AFRICAN CLUB INNOVATIONS TRUST MANAGEMENT ASSOCIATION,AFRICAN CLUB INNOVATIONS,N/A,087 805 2500x2018,086 565 7018,26 Duiwe Avenue Sedgefield 6573,Sedgefield,,
NCRCP8605,KUYINGWENYA CONSTRUCTION AND PROJECTS (PTY) LTD,,2014/167751/07,078 406 1602,086 606 7290,49 Berdford Avenue BENONI 1500,BENONI,,
NCRCP8609,XP CASH LOANS (PTY) LTD,,2016/449376/07,060 457 3882,,27 Berg Street Saldanha 7395,Saldanha,,
NCRCP861,PATRICIAN INVESTMENTS CC,MAKULU FINANCE,2004/002852/23,011 600 0636,086 681 6816,"CCMA House, 7th Floor Cnr Loveday & Fox Street Johannesburg 2001",Johannesburg,,
NCRCP862,SHELF INVESTMENTS 4 CC,ATLAS FINANCE AND MAKULU FINANCE,1997/05543/23,011 833 1900,086 683 1096,CCMA House Seventh Floor Cnr Loveday & Fox Streets Johannesburg 2001,Johannesburg,,
NCRCP8623,DELPORTS FINANSIELE DIENSTE (PTY) LTD,,2016/293892/07,053 203 0415,053 203 0415,Hanekom Street Delportshoop 8377,Delportshoop,,
NCRCP864,DOTESTA FINANCE CC,ATLAS FINANCE,2004/056229/23,011 833 19002,086 683 1096,"CCMA House, 7th Floor Cnr Loveday & Fox Streets Johannesburg 2001",Johannesburg,,
NCRCP3746,FINBOND GROUP LIMITED,FINBOND,2001/015761/06,012 460 7288,086 691 5855,Bank Forum Building Cnr Veale & Fehrsen Streets Nieuw Muckleneuk Pretoria 0181,Pretoria,,
NCRCP3751,JACOBUS VAN DER MERWE,POLEKE YA FINANCE,N/A,051 724 0044,051 4363 957,10 Rayton View Octilvie Thompson Street Heuwelsig BLOEMFONTEIN 9332,BLOEMFONTEIN,,
NCRCP3754,AWIAM EIENDOMS BELEGGINGS BK,EGOLI CASH LOANS,1999/065052/23,044 695 1701,044 695 1701 ask,25 A Van Riebeeck Street Olifantshoek 8450,Olifantshoek,,
NCRCP3756,LEON PHILLIP DU PLESSIS,,N/A,011 462 0045,011 704 0344,3b Glen Luce Drive Douglasdale Sandton 2165,Sandton,,
NCRCP3767,KESHAN AND ASSOCIATES CC,,2008/219632/23,034 315 4620,,"Office 122, 1st Floor Old Mutual Building Scott Street NEWCASTLE 2940",NEWCASTLE,,
NCRCP3768,SOUTHERN POWER PRODUCTS (PTY) LTD,,1997/00664/07,021 511 0653,021 510 3049,30 Marine Drive Paarden Eiland Paardeneiland 7405,Paardeneiland,,
NCRCP3769,CASH CONVERTERS SOUTHERN AFRICA (PTY) LTD,CASH CONVERTERS GREYVILLE,1994/001274/07,087 820 4080,011 805 2170,191 Bekker Street MIDRAND 1685,MIDRAND,,
NCRCP3771,LCK JORDAAN FURNISHERS CC,WOODBURN FURNITURE,2004/070596/23,011 416 1572,011 416 1575,"Plot 53, Randfontein Road Wheatlands RANDFONTEIN 1759",RANDFONTEIN,,
NCRCP3772,ST DUNSTAN'S ASSOCIATION FOR SOUTH AFRICAN WAR-BLINDED VETERANS (ASS INC. UNDER SEC 21),ST DUNSTANS ASSOCIATION,1944/017587/08,021 531 2028,021 531 6654,P O BOX 125 Howard Place 7450,Howard Place,,
NCRCP3774,GORDON ANDREW PANMAN,ROOIBERG CONSULTANTS,N/A,014 734 1669,014 734 1669,23 Blinkblaar Street Rooiberg 0500,Rooiberg,,
NCRCP1139,GOT THE EDGE 41 CC,N & N MOTORS,2002/026344/23,051 448 -9580,051 448-7208,67 Church Street BLOEMFONTEIN 9301,BLOEMFONTEIN,,
NCRCP11392,PRO ADVANCE INVESTMENTS 73 (PTY) LTD,,2016/140596/07,011 907 6275,,81 Micheme Avenue Randhart ALBERTON 1449,ALBERTON,,
NCRCP114,OLD MAKHERA AND ASSOCIATES CC,,2003/088520/23,015 961 4466,015 961 4466,Tshivhazwaulu Village Nesengani (Tshino) Vuwani 0952,Vuwani,,
NCRCP1140,GERHARD CORDIER & GENOTE (PTY) LTD,INDEPENDENT LOAN BROKERS,2006/035749/07,012 663 5840,012 643 1681,3 Burn Street Colbyn Pretoria 0083,Pretoria,,
NCRCP11402,DAZ ACCOUNTING AND TAX SERVICES (PTY) LTD,BONTLE CASH LOANS,2017/387203/07,058 852 1400,086 590 8757,"Shop 2, 38 Bree Street Heilbron 9560",Heilbron,,
NCRCP11410,AGILE FINANCIAL SOLUTIONS (PTY) LTD,,2018/480446/07,082 767 2720,,574 Harvard Street Ormonde View Johannesburg 2091,Johannesburg,,
NCRCP11411,CASH CRUSADERS THE REEF (PTY) LTD,,2018/003778/07,021 787 9809,,Shop 38 A Erf 427 Elandsfontein 108 ELANDSFONTEIN 1429,ELANDSFONTEIN,,
NCRCP1142,EVOLUTION CASHFLOWS LTD,,2006/037707/06,043 702 4612,043 742 6327,Real People Views 12 Esplanade Road Quigney East London 5201,East London,,
NCRCP11420,THE BRIDGING FINANCE COMPANY (PTY) LTD,,2018/311924/07,011 447 8188,,JMS Inc Suite 1 26 Baker Street Rosebank 2196,Rosebank,,
NCRCP1143,REAL PEOPLE EDUCATION (PTY) LTD,,2000/030189/07,010 245 8309,086 620 0316,Real People Views 12 Esplanade Road Quigney EAST LONDON 5201,EAST LONDON,,
NCRCP656,F & H MEGA MONEY CC,,1999/046304/23,015 491 2807,015 491 2807,Jaco Mare Gebou 67 Retiefstraat Mokopane (Potgietersrus) 0600,Mokopane (Potgietersrus),,
NCRCP6575,ROHAN GREYVENSTEIN,,N/A,041 501 5500,041 586 0660,104 Park Drive Central Port Elizabeth 6001,Port Elizabeth,,
NCRCP6576,KAMEGO TRADING AND PROJECTS (PTY) LTD,,2013/116167/07,083 726 1723,,113 Vilakazi Street Zone 8 SEBOKENG 1983,SEBOKENG,,
NCRCP6579,ABROAD SPECTRUM AGRITRADING (PTY) LTD,,2013/085057/07,031 561 1410,086 671 2260,"Suite 203, Granada Square 16 Chartwell Drive Umhlanga Rocks 4319",Umhlanga Rocks,,
NCRCP6589,JOUBERT EN SEUN CC,KING CASH,1988/017516/23,083 469 8944,086 620 8762,19 Haarlem Paarl 7620,Paarl,,
NCRCP6590,BLUE CLOUD INVESTMENTS 20 CC,,2007/057706/23,012 541 3113,012 541 3792,18 Frans Du Toit Street Rosslyn East Akasia 0601,Akasia,,
NCRCP660,PREFRON CC,WINSTON SAHD,1986/020983/23,045 839 5589,045 839 5588,25 Factory Road QUEENSTOWN 5319,QUEENSTOWN,,
NCRCP6603,ERROL WARRINGTON REID,,N/A,056 343 3041,056 343 0793,18 Engelbrecht Street Viljoenskroon 9520,Viljoenskroon,,
NCRCP661,FIRST DRAW TRADING 75 CC,"ZAMA ZAMA, AFRICAN NATIONAL CREDIT",2002/085848/23,023 616 3887,023 616 2162,Coetzeestraat 1 Bonnievale 6730,Bonnievale,,
NCRCP6612,ALIZE CAPITAL (PTY) LTD,,1995/000655/07,011 928 7006,,48 Electron Avenue Isando KEMPTON PARK 1620,KEMPTON PARK,,
NCRCP865,ST JOHN FINANCE CC,ATLAS FINANCE,1998/007273/23,011 833 1900,086 683 1096,"CCMA House, 7th Flloor Cnr Loveday & Fox Street Johannesburg 2001",Johannesburg,,
NCRCP8656,GOLDENCASH FINANCE TRADING (PTY) LTD,,2016/442804/07,086 100 0005,086 672 2508,23 Calderwood Street Queenstown 5319,Queenstown,,
NCRCP866,DACOH TRADE BROKERING CC,ATLAS FINANCE,1996/54346/23,011 833 1900,086 683 1096,"CCMA House, 7th Floor Cnr Loveday & Fox Streets Johannesburg 2001",Johannesburg,,
NCRCP8682,VENKA (PTY) LTD,VENKA MICRO LOANS,2016/465882/07,071 344 1066,,133 Schoeman Street Pot Villa No 2 Mokopane (Potgietersrus) 0600,Mokopane (Potgietersrus),,
NCRCP8686,NICOLETTE BAIN AND BRENDIN BAIN TRADING IN PARTNERSHIP,BAIN FINANCIAL SERVICES,N/A,082 640 7200,,shop 1 Donkin Street BEDFORD 5780,BEDFORD,,
NCRCP8689,ALFATWIN (PTY) LTD,,1979/004531/07,016 423 5012,,162 General Hertzog Road Three Rivers VEREENIGING 1935,VEREENIGING,,
NCRCP8697,VALDA COREEN NEL,,N/A,044 695 2424,044 695 2824,Remaining Extent Of The farm Brandwag 289 Mossel Bay 6500,Mossel Bay,,
NCRCP8700,DENICA (PTY) LTD,CASH CRUSADERS PORT SHEPSTONE,2016/225218/07,039 682 7509,,Shop 5-6 Harbour View Centre Cnr Daly & Sinclair Roads Port Shepstone 4240,Port Shepstone,,
NCRCP8706,JOHANNES JACOBUS FREDERICK LUBBE,JOHANNES LUBBE,N/A,021 851 1676,086 510 7100,21 Milagro Street Schonenbere Estate Somerset West 7130,Somerset West,,
NCRCP871,BOSTON FINANCE CC,"ATLAS FINANCE , MAKULU FINANCE",1994/37693/23,011 833 1900,086 683 1096,CCMA House 7th Floor Cnr Loveday & Fox Streets Johannesburg 2001,Johannesburg,,
NCRCP11447,ADRIAAN JACOBUS PRINSLOO,,N/A,082 453 9894,086 212 1088,Weaver's Roost R563 Hekpoort 1790,Hekpoort,,
NCRCP11449,CRAIB'S KONTANTWINKEL CC,,2004/090477/23,057 388 2306,057 388 1896,55 Craib Street Riebeeckstad Welkom. 9469,Welkom.,,
NCRCP1145,P J G FINANCE CC,SPEEDY FINANCE,2003/030012/23,043 727 0444,043 727 0444,9 Balfour Road Vincent East London 5247,East London,,
NCRCP11450,ALPHA AND OMEGA FINANCIAL SERVICES (PTY) LTD,,2012/022696/07,010 023 0773,086 235 6054,No 33 Constantia Square Office Park 526 - 16th Road Midrand. 1686,Midrand.,,
NCRCP11453,VAN HEERDEN APTEEK GLENSTANTIA (PTY) LTD,,2017/499958/07,014 736 4976,086 568 0932,Genl Loius Botha 597 Constantia Park Pretoria 0010,Pretoria,,
NCRCP11475,RED ZONE GROUP (PTY) LTD,BROKER CAPITAL,2018/440218/07,016 985 0001,,1043 Auriga Street Bedworthpark Ext Vereeniging 1939,Vereeniging,,
NCRCP11476,BIBO WATER (PTY) LTD,,2010/001715/07,011 262 4486,,5 Thora Crescent Wynberg Johannesburg 2090,Johannesburg,,
NCRCP1148,C AND M MICRO LENDERS CC,,2000/043638/23,012 347 1903,012 347 1903,217 Oom Jochem's Place Erasmusrand Pretoria 0181,Pretoria,,
NCRCP11486,ALICIA MARAIS,,N/A,082 340 6077,,4 Septemberbos Street Dwarswegstrand GREAT BRAK RIVER 6525,GREAT BRAK RIVER,,
NCRCP1149,MOORREESBURGSE KORINGBOERE (EDMS) BPK,MKB,1999/007729/07,022 433 8390,022 433 4056,Cnr Main & Long Streets Moorreesburg 7310,Moorreesburg,,
NCRCP6614,THE THEKWINI FUND 11 (RF) LIMITED,,2013/020930/06,031 576 5687,086 500 1534,"2 Milkwood Crescent Milkwood Park, Off Douglas Saunders Drive La Lucia Ridge 4051",La Lucia Ridge,,
NCRCP663,TEN TO ONE CASH LOANS CC,,2005/123204/23,057 899 1365,086 509 6319,23 Pretorius Street Wesselsbron 9680,Wesselsbron,,
NCRCP6632,RAGE DISTRIBUTION (PTY) LTD,RAGE,2003/017346/07,011 608 6833,086 531 7147,31 Lake Road Long Meadow Edenvale 1609,Edenvale,,
NCRCP6633,STEADFAST FINANCE (PTY) LTD,,2013/004340/07,  ,,880 Lever Road MIDRAND 1685,MIDRAND,,
NCRCP6646,MKHIPHENI PIOS ZONDO,SIPHESIHLE MONEY LENDERS,N/A,072 254 4802,086 773 9444,872 St Chads Mission LADYSMITH 3370,LADYSMITH,,
NCRCP6652,JEZABEL (PTY) LTD,CASH CONVERTERS MEYERTON,2013/171159/07,016 428 3257,016 428 3257,6007 HB Cnr Loch Street Meyerton 1960,Meyerton,,
NCRCP666,T. J. M. KADIMA CASH LOANS CC,"STATUS FINANCIAL SERVICES, THUSA CASH LOANS",1997/040242/23,057 352 5760,057 352 5782,002 Domitek Building 6 De Kaap Street Welkom 9459,Welkom,,
NCRCP6669,S M K CASH LOAN AND PROJECTS (PTY) LTD,,2013/171186/07,011 860 6038,011 860 4992,310 Matwayitwayi Street VOSLOORUS 1475,VOSLOORUS,,
NCRCP667,ALFSA FINANSIELE KONSULTANTE CC,"VIVA CASH LOAN, SUNSHINE FINANCE",1996/61243/23,014 597 1496,086 696 9264,7 Midgate Centre 47 Loop Street Rustenburg 0299,Rustenburg,,
NCRCP6673,TAETSE KRUGER HAMERSMA,,N/A,023 616 3619,023 616 3619,Jakkalskraal Bonnievale 6730,Bonnievale,,
NCRCP8720,TEMBEKA SOCIAL INVESTMENT COMPANY LTD,,1997/008654/06,021 447 8138,086 656 5687,247 Lower Main Road Observatory KAAPSTAD 7925,KAAPSTAD,,
NCRCP8745,SEEK 633 (PTY) LTD,,2016/361186/07,021 100 3607,,AO3 LA Concorde Building 57 Main Road Suider-Paarl 7646,Suider-Paarl,,
NCRCP8746,WEIYAN TRADING CC,,2003/048121/23,078 333 7586,,541 Church Street Pietermaritzburg 3201,Pietermaritzburg,,
NCRCP8748,SIYAMISANA 24 CC,,2005/081618/23,031 312 0036,031 303 6312,7 Jameson Road East London 5201,East London,,
NCRCP875,VANCO CC,VANCO FINANCIAL SERVICES,1999/058565/23,011 453 7520,011 453 9254,Shop 8a Eden Mall Edenvale 1609,Edenvale,,
NCRCP876,BITLINE SA 836 CC,"ADDINGHTON LOANS, SIZA LOANS, TEKWENI LOANS",2002/029721/23,031 767 6045,031 767 1394,6 Harris Tweed 11 Roosevelt Road Winston Park 3610,Winston Park,,
NCRCP877,CONSTANTINE FINANCIAL SERVICES CC,,1999/048861/23,014 596 6118,,48 Ridder Street East End Rustenburg 0299,Rustenburg,,
NCRCP8770,NEOFIN BOSHOF (PTY) LTD,,2015/347597/07,057 352 2863,057 352 2863,10 Jasmyn Street Jim Fouche Park Welkom 9459,Welkom,,
NCRCP878,BUDGET BODY WORKS CC,,1997/39387/23,021 703 1277,021 703 5832,18 Frere Street Woodstock 7915,Woodstock,,
NCRCP8786,MARINDA LIACOS,,N/A,044 690 7771,,32 - 6th Avenue Mossel Bay MOSSELBAAI 6506,MOSSELBAAI,,
NCRCP3782,MIDNIGHT STAR TRADING 702 CC,MEGA CASH LOANS,2008/128646/23,016 421 1830,086 525 9324,8 Mulba Building Merriman Ave Vereeniging 1930,Vereeniging,,
NCRCP3784,METTLE MORTGAGE COMPANY (PTY) LTD,,2008/017989/07,021 915 3300,086 679 3223,"First Floor, Metter Building Willip van Schoor Ave BELLVILLE 7530",BELLVILLE,,
NCRCP3785,METTLE MORTGAGE MANAGEMENT COMPANY (PTY) LTD,,2008/017233/07,021 915 3300,086 679 3223,"1st Floor, Mettle Building Willie van Schoor Ave BELLVILLE 7530",BELLVILLE,,
NCRCP3790,DISTANT STAR TRADING 62 CC,INHOUSE LOANS,2005/028681/23,011 802 8339,086 684 2473,Helam Mine Swartruggens 2835,Swartruggens,,
NCRCP3792,ISKHUS FINANCING (PTY) LTD,,1998/008801/07,011 822 1112,011 388 5794,"Stand 431, Tunney Park Sam Green Road Meadowddale Germiston 1412",Germiston,,
NCRCP3793,SPECIALISED MORTGAGE CAPITAL GUARANTEE (PTY) LTD,,2007/033207/07,086 177 6622,086 530 4811,"Rennie House Building, 14th Floor 19 Ameshoff Street Braamfontein 2017",Braamfontein,,
NCRCP3806,4 SHURE INVESTMENTS (PTY) LTD,,2008/005616/07,010 201 2054,086 6927758,78 Appelgrein Street Brackenhurst Alberton 1448,Alberton,,
NCRCP3807,HERMAN BRAUER TRUST,,N/A,012 991 8311,012 991 8311,Meander Esates 10 Schoonspruit MORELETAPARK 0081,MORELETAPARK,,
NCRCP3815,BUTIE JEREMIAH MOKHATHI,B.J. MOKHATHI FINANCIAL SOLUTIONS,N/A,051 973 0015,086 6969450,706 Mahlatswetsa Mahlatswetsa Location EXCELSIOR 9760,EXCELSIOR,,
NCRCP3816,BRIKOR LIMITED,,1998/013247/06,011 739 9000,086 634 1099,1 Marievale Road Vorsterkroon NIGEL 1490,NIGEL,,
NCRCP11504,KWIKIT CASH LOANS (PTY) LTD,,2018/492526/07,017 712 2348,,20 Avenue Malaga Bella Rosa Blydeville Upington 8801,Upington,,
NCRCP1153,FRIEDLAND 035 INVESTMENTS ( PTY) LTD,,2000/003245/07,011 343 2000,086 608 1705,"President Place, 4th Floor Cnr Jan Smuts Avenue & Bolton Road Rosebank 2196",Rosebank,,
NCRCP11536,CUSTOMER OWNED PRIMARY CO-OPERATIVE LIMITED,,2017/010436/24,021 556 0853,086 621 8332,52 Regent Road Paklands 7441,Paklands,,
NCRCP11539,JOHRI HOLDINGS (PTY) LTD,CASH CRUSADERS ROBERTSON,2016/139467/07,023 626 1086,,14 Reitz Street Robertson 6705,Robertson,,
NCRCP11545,CC LOANS (PTY) LTD,,2018/301048/07,051 412 6333,051 430 2127,"2nd Floor, Sentramed Building 56 Oliver Tambo Street BLOEMFONTEIN 9301",BLOEMFONTEIN,,
NCRCP1155,BERAS MOTOR WORLD CC,SUPER CARS,1996/019899/23,013 692 7628,013 692 7629,Bailey Square Watermeyer Street Witbank 1035,Witbank,,
NCRCP11566,CHRISTIAAN DIRK VERSLUIS,,N/A,082 453 7772,,698 Elvira Street Garsfontein Pretoria 0042,Pretoria,,
NCRCP11582,TOTAL CREDIT (PTY) LTD,,2018/307966/07,011 693 3340,,2 Pollock Street Randfontein 1760,Randfontein,,
NCRCP116,CAPX FINANCE (PTY) LTD,,2002/028886/07,021 979 1960,021 979 1996,La Fantaine Westerdale Road Durbanville 7550,Durbanville,,
